RECID=R2012111530000002	一	yī
RECID=R2012111530010652	会	kuài
RECID=R2012111530010653	会计	kuài jì
RECID=R2012111530010654	会计师	kuài jì shī
RECID=R2012111530010655	企	qǐ
RECID=R2012111530010656	企及	qǐ jí
RECID=R2012111530010657	企业	qǐ yè
RECID=R2012111530010658	企业化	qǐ yè huà
RECID=R2012111530010659	企业合并	qǐ yè hé bìng
RECID=R2012111530010660	企业法	qǐ yè fǎ
RECID=R2012111530010661	企业兼并	qǐ yà jiān bìng
RECID=R2012111530010662	企业家	qǐ yè jiā
RECID=R2012111530010663	企划	qǐ huà
RECID=R2012111530010664	企仰	qǐ yǎng
RECID=R2012111530010665	企求	qǐ qiú
RECID=R2012111530010666	企改	qǐ gǎi
RECID=R2012111530010667	企图	qǐ tú
RECID=R2012111530010668	企盼	qǐ pàn
RECID=R2012111530010669	企待	qǐ dài
RECID=R2012111530010670	企望	qǐ wàng
RECID=R2012111530010671	企祷	qǐ dǎo
RECID=R2012111530010672	企鹅	qǐ é
RECID=R2012111530010673	企管	qǐ guǎn
RECID=R2012111530010674	企冀	qǐ jì
RECID=R2012111530010675	众	zhòng
RECID=R2012111530010676	众人	zhòng rén
RECID=R2012111530010677	众人拾柴火焰高	zhòng rén shí chái huǒ yàn gāo
RECID=R2012111530010678	众人捧柴火焰高	zhòng rén pěng chái huǒ yàn gāo
RECID=R2012111530010679	众人眼里有杆秤	zhòng rén yǎn li yǒu gǎn chèng
RECID=R2012111530010680	众口	zhòng kǒu
RECID=R2012111530010681	众口一词	zhòng kǒu yī cí
RECID=R2012111530010682	众口一辞	zhòng kǒu yī cí
RECID=R2012111530010683	众口交赞	zhòng kǒu jiāo zàn
RECID=R2012111530010684	众口纷纭	zhòng kǒu fēn yún
RECID=R2012111530010685	众口相传	zhòng kǒu xiāng chuán
RECID=R2012111530010686	众口哓哓	zhòng kǒu xiāo xiāo
RECID=R2012111530010687	众口铄金	zhòng kǒu shuò jīn
RECID=R2012111530010688	众口难调	zhòng kǒu nán tiáo
RECID=R2012111530010689	众口熏天	zhòng kǒu xūn tiān
RECID=R2012111530010690	众目	zhòng mù
RECID=R2012111530010691	众目昭彰	zhòng mù zhāo zhāng
RECID=R2012111530010692	众目睽睽	zhòng mù kuí kuí
RECID=R2012111530010693	众生	zhòng shēng
RECID=R2012111530010694	众生好度人难度	zhòng shēng hǎo dù rén nán dù
RECID=R2012111530010695	众生相	zhòng shēng xiàng
RECID=R2012111530010696	众矢之的	zhòng shǐ zhī dì
RECID=R2012111530010697	众议院	zhòng yì yuàn
RECID=R2012111530010698	众民	zhòng mín
RECID=R2012111530010699	众地莫企，众事莫议	zhòng dì mò qǐ zhòng shì mò yì
RECID=R2012111530010700	众多	zhòng duō
RECID=R2012111530010701	众志成城	zhòng zhì chéng chéng
RECID=R2012111530010702	众位	zhòng wèi
RECID=R2012111530010703	众事	zhòng shì
RECID=R2012111530010704	众虎攒羊	zhòng hǔ cuán yáng
RECID=R2012111530010705	众所周知	zhòng suǒ zhōu zhī
RECID=R2012111530010706	众所瞩目	zhòng suǒ zhǔ mù
RECID=R2012111530010707	众星	zhòng xīng
RECID=R2012111530010708	众星拱月	zhòng xīng gǒng yuè
RECID=R2012111530010709	众星捧月	zhòng xīng pěng yuè
RECID=R2012111530010710	众香国	zhòng xiāng guó
RECID=R2012111530010711	众怨	zhòng yuàn
RECID=R2012111530010712	众叛亲离	zhòng pàn qīn lí
RECID=R2012111530010713	众说	zhòng shuō
RECID=R2012111530010714	众说纷纭	zhòng shuō fēn yún
RECID=R2012111530010715	众院	zhòng yuàn
RECID=R2012111530010716	众怒	zhòng nù
RECID=R2012111530010717	众怒难犯	zhòng nù nán fàn
RECID=R2012111530010718	众怒难犯，专欲难成	zhòng nù nán fàn zhuān yù nán
RECID=R2012111530010719	众流归海	zhòng liú guī hǎi
RECID=R2012111530010720	众望	zhòng wàng
RECID=R2012111530010721	众望所归	zhòng wàng suǒ guī
RECID=R2012111530010722	众喙	zhòng huì
RECID=R2012111530010723	众毁销骨	zhòng huǐ xiāo gǔ
RECID=R2012111530010724	众寡不敌	zhòng guǎ bù dí
RECID=R2012111530010725	众寡悬殊	zhòng guǎ xuán shū
RECID=R2012111530010726	众擎易举	zhòng qíng yì jǔ
RECID=R2012111530010727	伞	sǎn
RECID=R2012111530010728	伞子	sǎn zi
RECID=R2012111530010729	伞头	sǎn tóu
RECID=R2012111530010730	伞兵	sǎn bīng
RECID=R2012111530010731	伞松	sǎn sōng
RECID=R2012111530010732	伞柄竹	sǎn bǐng zhú
RECID=R2012111530010733	伞	sǎn
RECID=R2012111530010734	佞	nìng
RECID=R2012111530010735	佞臣	nìng chén
RECID=R2012111530010736	佞佛	nìng fó
RECID=R2012111530010737	佞幸	nìng xìng
RECID=R2012111530010738	佞笑	nìng xiào
RECID=R2012111530010739	佉	qū
RECID=R2012111530010740	佉卢文字	qū lú wén zì
RECID=R2012111530010741	估	gū
RECID=R2012111530010742	估人	gū rén
RECID=R2012111530010743	估计	gū jì
RECID=R2012111530010744	估价	gū jià
RECID=R2012111530010745	估产	gū chǎn
RECID=R2012111530010746	估奸	gū jiān
RECID=R2012111530010747	估评	gū píng
RECID=R2012111530010748	估测	gū cè
RECID=R2012111530010749	估捣	gū dao
RECID=R2012111530010750	估堆儿	gū duīr
RECID=R2012111530010751	估猜	gū cāi
RECID=R2012111530010752	估揣	gū chuǎi
RECID=R2012111530010753	估逼	gū bī
RECID=R2012111530010754	估量	gū liáng
RECID=R2012111530010755	估摸	gū mo
RECID=R2012111530010756	估算	gū suàn
RECID=R2012111530010757	估	gù
RECID=R2012111530010758	估衣	gù yī
RECID=R2012111530010759	体	tǐ
RECID=R2012111530010760	体力	tǐ lì
RECID=R2012111530010761	体力劳动	tǐ lì láo dòng
RECID=R2012111530010762	体干	tǐ gàn
RECID=R2012111530010763	体大思精	tǐ dà sī jīng
RECID=R2012111530010764	体子	tǐ zi
RECID=R2012111530010765	体无完肤	tǐ wú wán fū
RECID=R2012111530010766	体气	tǐ qì
RECID=R2012111530010767	体化	tǐ huà
RECID=R2012111530010768	体认	tǐ rèn
RECID=R2012111530010769	体心	tǐ xīn
RECID=R2012111530010770	体用	tǐ yòng
RECID=R2012111530010771	体式	tǐ shì
RECID=R2012111530010772	体会	tǐ huì
RECID=R2012111530010773	体形	tǐ xíng
RECID=R2012111530010774	体坛	tǐ tán
RECID=R2012111530010775	体位	tǐ wèi
RECID=R2012111530010776	体系	tǐ xì
RECID=R2012111530010777	体况	tǐ kuàng
RECID=R2012111530010778	体疗	tǐ liáo
RECID=R2012111530010779	体沉	tǐ chén
RECID=R2012111530010780	体词	tǐ cí
RECID=R2012111530010781	体改	tǐ gǎi
RECID=R2012111530010782	体现	tǐ xiàn
RECID=R2012111530010783	体表	tǐ biǎo
RECID=R2012111530010784	体势	tǐ shì
RECID=R2012111530010785	体态	tǐ tài
RECID=R2012111530010786	体味	tǐ wèi
RECID=R2012111530010787	体帖	tǐ tiē
RECID=R2012111530010788	体制	tǐ zhì
RECID=R2012111530010789	体物	tǐ wù
RECID=R2012111530010790	体例	tǐ lì
RECID=R2012111530010791	体质	tǐ zhì
RECID=R2012111530010792	体征	tǐ zhēng
RECID=R2012111530010793	体念	tǐ niàn
RECID=R2012111530010794	体肤	tǐ fū
RECID=R2012111530010795	体胀系数	tǐ zhàng xì shù
RECID=R2012111530010796	体育	tǐ yù
RECID=R2012111530010797	体育场	tǐ yù chǎng
RECID=R2012111530010798	体育运动	tǐ yù yùn dòng
RECID=R2012111530010799	体育俱乐部	tǐ yù jù lè bù
RECID=R2012111530010800	体育馆	tǐ yù guǎn
RECID=R2012111530010801	体性	tǐ xìng
RECID=R2012111530010802	体虱	tǐ shī
RECID=R2012111530010803	体型	tǐ xíng
RECID=R2012111530010804	体面	tǐ miàn
RECID=R2012111530010805	体尝	tǐ cháng
RECID=R2012111530010806	体罚	tǐ fá
RECID=R2012111530010807	体贴	tǐ tiē
RECID=R2012111530010808	体贴入微	tǐ tiē rù wēi
RECID=R2012111530010809	体重	tǐ zhòng
RECID=R2012111530010810	体段	tǐ duàn
RECID=R2012111530010811	体顺	tǐ shùn
RECID=R2012111530010812	体姿	tǐ zī
RECID=R2012111530010813	体恤	tǐ xù
RECID=R2012111530010814	体统	tǐ tǒng
RECID=R2012111530010815	体格	tǐ gé
RECID=R2012111530010816	体校	tǐ xiào
RECID=R2012111530010817	体积	tǐ jī
RECID=R2012111530010818	体谅	tǐ liàng
RECID=R2012111530010819	体能	tǐ néng
RECID=R2012111530010820	体验	tǐ yàn
RECID=R2012111530010821	体验派	tǐ yàn pài
RECID=R2012111530010822	体检	tǐ jiǎn
RECID=R2012111530010823	体液	tǐ yè
RECID=R2012111530010824	体惜	tǐ xī
RECID=R2012111530010825	体裁	tǐ cái
RECID=R2012111530010826	体量	tǐ liàng
RECID=R2012111530010827	体循环	tǐ xún huán
RECID=R2012111530010828	体腔	tǐ qiāng
RECID=R2012111530010829	体温	tǐ wēn
RECID=R2012111530010830	体温计	tǐ wēn jì
RECID=R2012111530010831	体温表	tǐ wēn biǎo
RECID=R2012111530010832	体锻	tǐ duàn
RECID=R2012111530010833	体魄	tǐ pò
RECID=R2012111530010834	体貌	tǐ mào
RECID=R2012111530010835	体察	tǐ chá
RECID=R2012111530010836	体操	tǐ cāo
RECID=R2012111530010837	体操鞋	tǐ cāo xié
RECID=R2012111530010838	体膨胀	tǐ péng zhàng
RECID=R2012111530010839	体癣	tǐ xuǎn
RECID=R2012111530010840	体	tī
RECID=R2012111530010841	体己	tī ji
RECID=R2012111530010842	体己话	tī ji huà
RECID=R2012111530010843	体己钱	tī ji qián
RECID=R2012111530010844	何	hé
RECID=R2012111530010845	何不	hé bù
RECID=R2012111530010846	何止	hé zhǐ
RECID=R2012111530010847	何日	hé rì
RECID=R2012111530010848	何从	hé cóng
RECID=R2012111530010849	何以	hé yǐ
RECID=R2012111530010850	何去何从	hé qù hé cóng
RECID=R2012111530010851	何由	hé yóu
RECID=R2012111530010852	何用	hé yòng
RECID=R2012111530010853	何乐而不为	hé lè ér bù wéi
RECID=R2012111530010854	何处	hé chù
RECID=R2012111530010855	何必	hé bì
RECID=R2012111530010856	何在	hé zài
RECID=R2012111530010857	何至于	hé zhì yú
RECID=R2012111530010858	何似	hé sì
RECID=R2012111530010859	何许人	hé xǔ rén
RECID=R2012111530010860	何异	hé yì
RECID=R2012111530010861	何如	hé rú
RECID=R2012111530010862	何时	hé shí
RECID=R2012111530010863	何足	hé zú
RECID=R2012111530010864	何况	hé kuàng
RECID=R2012111530010865	何妨	hé fáng
RECID=R2012111530010866	何幸	hé xìng
RECID=R2012111530010867	何其	hé qí
RECID=R2012111530010868	何苦	hé kǔ
RECID=R2012111530010869	何限	hé xiàn
RECID=R2012111530010870	何尝	hé cháng
RECID=R2012111530010871	何待	hé dài
RECID=R2012111530010872	何须	hé xū
RECID=R2012111530010873	何首乌	hé shǒu wū
RECID=R2012111530010874	何殊	hé shū
RECID=R2012111530010875	何消	hé xiāo
RECID=R2012111530010876	何堪	hé kān
RECID=R2012111530010877	何辜	hé gū
RECID=R2012111530010878	何等	hé děng
RECID=R2012111530010879	何曾	hé céng
RECID=R2012111530010880	佐	zuǒ
RECID=R2012111530010881	佐助	zuǒ zhù
RECID=R2012111530010882	佐证	zuǒ zhèng
RECID=R2012111530010883	佐料	zuǒ liào
RECID=R2012111530010884	佐理	zuǒ lǐ
RECID=R2012111530010885	佐领	zuǒ lǐng
RECID=R2012111530010886	佐餐	zuǒ cān
RECID=R2012111530010887	伾	pī
RECID=R2012111530010888	佑	yòu
RECID=R2012111530010889	佑护	yòu hù
RECID=R2012111530010890	<span class="PUC01_E9">&#xe9bb;</span>	lǒng
RECID=R2012111530010891	<span class="PUC01_E9">&#xe9bb;</span>侗	lǒng tǒng
RECID=R2012111530010892	伻	bēng
RECID=R2012111530010893	佧	kǎ
RECID=R2012111530010894	佧佤族	kǎ wǎ zú
RECID=R2012111530010895	攸	yōu
RECID=R2012111530010896	攸乐	yōu lè
RECID=R2012111530010897	攸然	yōu rán
RECID=R2012111530010898	攸游	yōu yóu
RECID=R2012111530010899	但	dàn
RECID=R2012111530010900	但凡	dàn fán
RECID=R2012111530010901	但分	dàn fēn
RECID=R2012111530010902	但书	dàn shū
RECID=R2012111530010903	但是	dàn shì
RECID=R2012111530010904	但等	dàn děng
RECID=R2012111530010905	但愿	dàn yuàn
RECID=R2012111530010906	伸	shēn
RECID=R2012111530010907	伸手	shēn shǒu
RECID=R2012111530010908	伸手不见五指	shēn shǒu bù jiàn wǔ zhǐ
RECID=R2012111530010909	伸手不见拳	shēn shǒu bù jiàn quán
RECID=R2012111530010910	伸延	shēn yán
RECID=R2012111530010911	伸抖	shēn dǒu
RECID=R2012111530010912	伸诉	shēn sù
RECID=R2012111530010913	伸张	shēn zhāng
RECID=R2012111530010914	伸坦	shēn tǎn
RECID=R2012111530010915	伸述	shēn shù
RECID=R2012111530010916	伸冤	shēn yuān
RECID=R2012111530010917	伸展	shēn zhǎn
RECID=R2012111530010918	伸雪	shēn xuě
RECID=R2012111530010919	伸歇	shēn xiē
RECID=R2012111530010920	伸腿	shēn tuǐ
RECID=R2012111530010921	伸缩	shēn suō
RECID=R2012111530010922	伸懒腰	shēn lǎn yāo
RECID=R2012111530010923	佃	tián
RECID=R2012111530010924	佃作	tián zuò
RECID=R2012111530010925	佃渔	tián yú
RECID=R2012111530010926	佃	diàn
RECID=R2012111530010927	佃户	diàn hù
RECID=R2012111530010928	佃东	diàn dōng
RECID=R2012111530010929	佃权	diàn quán
RECID=R2012111530010930	佃农	diàn nóng
RECID=R2012111530010931	佃契	diàn qì
RECID=R2012111530010932	佃客	diàn kè
RECID=R2012111530010933	佃租	diàn zū
RECID=R2012111530010934	佃富农	diàn fù nóng
RECID=R2012111530010935	伷	zhòu
RECID=R2012111530010936	𠇷	sāng
RECID=R2012111530010937	佚	yì
RECID=R2012111530010938	佚文	yì wén
RECID=R2012111530010939	佚书	yì shū
RECID=R2012111530010940	佚史	yì shǐ
RECID=R2012111530010941	佚失	yì shī
RECID=R2012111530010942	佚乐	yì lè
RECID=R2012111530010943	佚存	yì cún
RECID=R2012111530010944	佚事	yì shì
RECID=R2012111530010945	佚闻	yì wén
RECID=R2012111530010946	作	zuò
RECID=R2012111530010947	作刁	zuò diāo
RECID=R2012111530010948	作工	zuò gōng
RECID=R2012111530010949	作小	zuò xiǎo
RECID=R2012111530010950	作子	zuò zi
RECID=R2012111530010951	作艺	zuò yì
RECID=R2012111530010952	作不准	zuò bu zhǔn
RECID=R2012111530010953	作厄	zuò è
RECID=R2012111530010954	作手	zuò shǒu
RECID=R2012111530010955	作手势	zuò shǒu shì
RECID=R2012111530010956	作气	zuò qì
RECID=R2012111530010957	作反	zuò fǎn
RECID=R2012111530010958	作风	zuò fēng
RECID=R2012111530010959	作文	zuò wén
RECID=R2012111530010960	作为	zuò wéi
RECID=R2012111530010961	作古	zuò gǔ
RECID=R2012111530010962	作古正经	zuò gǔ zhèng jīng
RECID=R2012111530010963	作业	zuò yè
RECID=R2012111530010964	作业系统	zuò yè xì tǒng
RECID=R2012111530010965	作业线	zuò yè xiàn
RECID=R2012111530010966	作田	zuò tián
RECID=R2012111530010967	作用	zuò yòng
RECID=R2012111530010968	作用点	zuò yòng diǎn
RECID=R2012111530010969	作乐	
RECID=R2012111530010970	作务	zuò wù
RECID=R2012111530010971	作主	zuò zhǔ
RECID=R2012111530010972	作头	zuò tóu
RECID=R2012111530010973	作训服	zuò xùn fú
RECID=R2012111530010974	作对	zuò duì
RECID=R2012111530010975	作协	zuò xié
RECID=R2012111530010976	作成	zuò chéng
RECID=R2012111530010977	作曲	zuò qǔ
RECID=R2012111530010978	作肉	zuò ròu
RECID=R2012111530010979	作伐	zuò fá
RECID=R2012111530010980	作件	zuò jiàn
RECID=R2012111530010981	作伥	zuò chāng
RECID=R2012111530010982	作价	zuò jià
RECID=R2012111530010983	作伪	zuò wěi
RECID=R2012111530010984	作色	zuò sè
RECID=R2012111530010985	作奸犯科	zuò jiān fàn kē
RECID=R2012111530010986	作如是观	zuò rú shì guān
RECID=R2012111530010987	作弄	zuò nòng
RECID=R2012111530010988	作声	zuò shēng
RECID=R2012111530010989	作呕	zuò ǒu
RECID=R2012111530010990	作别	zuò bié
RECID=R2012111530010991	作乱	zuò luàn
RECID=R2012111530010992	作秀	zuò xiù
RECID=R2012111530010993	作作	zuò zuò
RECID=R2012111530010994	作伴	zuò bàn
RECID=R2012111530010995	作证	zuò zhàng
RECID=R2012111530010996	作妖	zuò yāo
RECID=R2012111530010997	作劲	zuò jìn
RECID=R2012111530010998	作玩	zuò wán
RECID=R2012111530010999	作者	zuò zhě
RECID=R2012111530011000	作势	zuò shì
RECID=R2012111530011001	作画	zuò huà
RECID=R2012111530011002	作事	zuò shì
RECID=R2012111530011003	作态	zuò tài
RECID=R2012111530011004	作物	zuò wù
RECID=R2012111530011005	作废	zuò fèi
RECID=R2012111530011006	作育	zuò yù
RECID=R2012111530011007	作法	zuò fǎ
RECID=R2012111530011008	作法自毙	zuò fǎ zì bì
RECID=R2012111530011009	作怪	zuò guài
RECID=R2012111530011010	作茧自缚	zuò jiǎn zì fù
RECID=R2012111530011011	作威作福	zuò wēi zuò fú
RECID=R2012111530011012	作战	zuò zhàn
RECID=R2012111530011013	作哄	zuò hōng
RECID=R2012111530011014	作品	zuò pǐn
RECID=R2012111530011015	作响	zuò xiǎng
RECID=R2012111530011016	作保	zuò bǎo
RECID=R2012111530011017	作俑	zuò yǒng
RECID=R2012111530011018	作美	zuò měi
RECID=R2012111530011019	作活	zuò huó
RECID=R2012111530011020	作派	zuò pài
RECID=R2012111530011021	作客	zuò kè
RECID=R2012111530011022	作垒	zuò lěi
RECID=R2012111530011023	作恶	① zuò è;② zuò ě
RECID=R2012111530011024	作恶多端	zuò è duō duān
RECID=R2012111530011025	作真	zuò zhēn
RECID=R2012111530011026	作罢	zuò bà
RECID=R2012111530011027	作贼心虚	zuò zéi xīn xū
RECID=R2012111530011028	作爱	zuò ài
RECID=R2012111530011029	作准	zuò zhǔn
RECID=R2012111530011030	作害	zuò hài
RECID=R2012111530011031	作家	zuò jiā
RECID=R2012111530011032	作案	zuò àn
RECID=R2012111530011033	作祟	zuò suì
RECID=R2012111530011034	作陪	zuò péi
RECID=R2012111530011035	作梗	zuò gěng
RECID=R2012111530011036	作眼	zuò yǎn
RECID=R2012111530011037	作假	zuò jiǎ
RECID=R2012111530011038	作脸	zuò liǎn
RECID=R2012111530011039	作情	zuò qíng
RECID=R2012111530011040	作惜	zuò xī
RECID=R2012111530011041	作揖	zuò yī
RECID=R2012111530011042	作答	zuò dá
RECID=R2012111530011043	作善降祥	zuò shàn jiàng xiáng
RECID=R2012111530011044	作想	zuò xiǎng
RECID=R2012111530011045	作意	zuò yì
RECID=R2012111530011046	作数	zuò shù
RECID=R2012111530011047	作嫁衣裳	zuò jià yī shang
RECID=R2012111530011048	作弊	zuò bì
RECID=R2012111530011049	作赛	zuò sài
RECID=R2012111530011050	作瘪子	zuò biě zi
RECID=R2012111530011051	作壁上观	zuò bì shàng guān
RECID=R2012111530011052	作覆	zuò fù
RECID=R2012111530011053	作孽	zuò niè
RECID=R2012111530011054	作	zuō
RECID=R2012111530011055	作刀	zuō dāo
RECID=R2012111530011056	作头	zuō tóu
RECID=R2012111530011057	作坊	zuō fang
RECID=R2012111530011058	作屋	zuō wū
RECID=R2012111530011059	作裙	zuō qún
RECID=R2012111530011060	作凳	zuō dèng
RECID=R2012111530011061	作	zuò
RECID=R2012111530011062	作兴	zuò xīng
RECID=R2012111530011063	作料	zuò liao
RECID=R2012111530011064	作践	zuò jian
RECID=R2012111530011065	伯	bó
RECID=R2012111530011066	伯子	bó zi
RECID=R2012111530011067	伯父	bó fù
RECID=R2012111530011068	伯公	bó gōng
RECID=R2012111530011069	伯乐	bó lè
RECID=R2012111530011070	伯乐相马	bó lè xiàng mǎ
RECID=R2012111530011071	伯母	bó mǔ
RECID=R2012111530011072	伯仲	bó zhòng
RECID=R2012111530011073	伯仲之间	bó zhòng zhī jiān
RECID=R2012111530011074	伯仲叔季	bó zhòng shū jì
RECID=R2012111530011075	伯劳	bó láo
RECID=R2012111530011076	伯克	bó kè
RECID=R2012111530011077	伯伯	bó bo
RECID=R2012111530011078	伯祖	bó zǔ
RECID=R2012111530011079	伯祖母	bó zǔ mǔ
RECID=R2012111530011080	伯婆	bó pó
RECID=R2012111530011081	伯	bǎi
RECID=R2012111530011082	伯子	bǎi zi
RECID=R2012111530011083	伶	líng
RECID=R2012111530011084	伶人	líng rén
RECID=R2012111530011085	伶牙俐齿	líng yá lì chǐ
RECID=R2012111530011086	伶仃	líng dīng
RECID=R2012111530011087	伶仃孤苦	líng dīng gū kǔ
RECID=R2012111530011088	伶界	líng jiè
RECID=R2012111530011089	伶便	líng biàn
RECID=R2012111530011090	伶俜	líng pīng
RECID=R2012111530011091	伶俐	líng lì
RECID=R2012111530011092	佣	yòng
RECID=R2012111530011093	佣金	yòng jīn
RECID=R2012111530011094	佣钱	yòng qian
RECID=R2012111530011095	佣	yōng
RECID=R2012111530011096	佣人	yōng rén
RECID=R2012111530011097	佣工	yōng gōng
RECID=R2012111530011098	佣仆	yōng pú
RECID=R2012111530011099	佣耕	yōng gēng
RECID=R2012111530011100	低	dī
RECID=R2012111530011101	低八度	dī bā dù
RECID=R2012111530011102	低三下四	dī sān xià sì
RECID=R2012111530011103	低下	dī xià
RECID=R2012111530011104	低切	dī qiè
RECID=R2012111530011105	低凹	dī āo
RECID=R2012111530011106	低头	dī tóu
RECID=R2012111530011107	低头丧气	dī tóu sàng qì
RECID=R2012111530011108	低头耷脑	dī tóu dā nǎo
RECID=R2012111530011109	低头哈腰	dī tóu hā yāo
RECID=R2012111530011110	低头搭脑	dī tóu dā nǎo
RECID=R2012111530011111	低幼	dī yòu
RECID=R2012111530011112	低幼读物	dī yòu dú wù
RECID=R2012111530011113	低亚	dī yà
RECID=R2012111530011114	低压	dī yā
RECID=R2012111530011115	低压槽	dī yā cáo
RECID=R2012111530011116	低劣	dī liè
RECID=R2012111530011117	低回	dī huí
RECID=R2012111530011118	低血糖	dī xuè táng
RECID=R2012111530011119	低负荷	dī fù hè
RECID=R2012111530011120	低级	dī jí
RECID=R2012111530011121	低级趣味	dī jí qù wèi
RECID=R2012111530011122	低抑	dī yì
RECID=R2012111530011123	低声	dī shēng
RECID=R2012111530011124	低声下气	dī shēng xià qì
RECID=R2012111530011125	低声波	dī shēng bō
RECID=R2012111530011126	低声细语	dī shēng xì yǔ
RECID=R2012111530011127	低吟	dī yín
RECID=R2012111530011128	低估	dī gū
RECID=R2012111530011129	低低	dī dī
RECID=R2012111530011130	低谷	dī gǔ
RECID=R2012111530011131	低沉	dī chén
RECID=R2012111530011132	低拙	dī zhuō
RECID=R2012111530011133	低软	dī ruǎn
RECID=R2012111530011134	低垂	dī chuí
RECID=R2012111530011135	低质	dī zhì
RECID=R2012111530011136	低浅	dī qiǎn
RECID=R2012111530011137	低空	dī kōng
RECID=R2012111530011138	低陋	dī lòu
RECID=R2012111530011139	低标号	dī biāo hào
RECID=R2012111530011140	低栏	dī lán
RECID=R2012111530011141	低哑	dī yǎ
RECID=R2012111530011142	低贱	dī jiàn
RECID=R2012111530011143	低幽	dī yōu
RECID=R2012111530011144	低俗	dī sú
RECID=R2012111530011145	低徊	dī huí
RECID=R2012111530011146	低狭	dī xiá
RECID=R2012111530011147	低音	dī yīn
RECID=R2012111530011148	低音提琴	dī yīn tí qín
RECID=R2012111530011149	低迷	dī mí
RECID=R2012111530011150	低首下心	dī shǒu xià xīn
RECID=R2012111530011151	低洼	dī wā
RECID=R2012111530011152	低语	dī yǔ
RECID=R2012111530011153	低眉	dī méi
RECID=R2012111530011154	低眉下首	dī méi xià shǒu
RECID=R2012111530011155	低眉顺眼	dī méi shùn yǎn
RECID=R2012111530011156	低柔	dī róu
RECID=R2012111530011157	低热	dī rè
RECID=R2012111530011158	低档	dī dàng
RECID=R2012111530011159	低速摄影	dī sù shè yǐng
RECID=R2012111530011160	低峰	dī fēng
RECID=R2012111530011161	低徐	dī xú
RECID=R2012111530011162	低烧	dī shāo
RECID=R2012111530011163	低调	dī diào
RECID=R2012111530011164	低弱	dī ruò
RECID=R2012111530011165	低能	dī néng
RECID=R2012111530011166	低能儿	dī néng ér
RECID=R2012111530011167	低常	dī cháng
RECID=R2012111530011168	低眸	dī móu
RECID=R2012111530011169	低偿	dī cháng
RECID=R2012111530011170	低搭	dī dā
RECID=R2012111530011171	低落	dī luò
RECID=R2012111530011172	低智	dī zhì
RECID=R2012111530011173	低等动物	dī děng dòng wù
RECID=R2012111530011174	低等植物	dī děng zhí wù
RECID=R2012111530011175	低就	dī jiù
RECID=R2012111530011176	低湿	dī shī
RECID=R2012111530011177	低温	dī wēn
RECID=R2012111530011178	低缓	dī huǎn
RECID=R2012111530011179	低频	dī pín
RECID=R2012111530011180	低频放大器	dī pín fàng dà qì
RECID=R2012111530011181	低龄	dī líng
RECID=R2012111530011182	低矮	dī ǎi
RECID=R2012111530011183	低微	dī wēi
RECID=R2012111530011184	低廉	dī lián
RECID=R2012111530011185	低碳钢	dī tàn gāng
RECID=R2012111530011186	低潮	dī cháo
RECID=R2012111530011187	低黯	dī àn
RECID=R2012111530011188	你	nǐ
RECID=R2012111530011189	你们	nǐ men
RECID=R2012111530011190	你老	nǐ lǎo
RECID=R2012111530011191	你死我活	nǐ sǐ wǒ huó
RECID=R2012111530011192	你妈的	nǐ mā de
RECID=R2012111530011193	你俚	nǐ li
RECID=R2012111530011194	你追我赶	nǐ zhuī wǒ gǎn
RECID=R2012111530011195	你等	nǐ děng
RECID=R2012111530011196	佝	gōu
RECID=R2012111530011197	佝偻	gōu lóu
RECID=R2012111530011198	佝偻病	gōu lóu bìng
RECID=R2012111530011199	佟	tóng
RECID=R2012111530011200	㑇	zhòu
RECID=R2012111530011201	住	zhù
RECID=R2012111530011202	住口	zhù kǒu
RECID=R2012111530011203	住手	zhù shǒu
RECID=R2012111530011204	住户	zhù hù
RECID=R2012111530011205	住处	zhù chù
RECID=R2012111530011206	住民	zhù mín
RECID=R2012111530011207	住宅	zhù zhái
RECID=R2012111530011208	住宅区	zhù zhái qū
RECID=R2012111530011209	住址	zhù zhǐ
RECID=R2012111530011210	住所	zhù suǒ
RECID=R2012111530011211	住店	zhù diàn
RECID=R2012111530011212	住夜	zhù yè
RECID=R2012111530011213	住房	zhù fáng
RECID=R2012111530011214	住居	zhù jū
RECID=R2012111530011215	住持	zhù chí
RECID=R2012111530011216	住室	zhù shì
RECID=R2012111530011217	住院	zhù yuàn
RECID=R2012111530011218	住家	zhù jiā
RECID=R2012111530011219	住读	zhù dú
RECID=R2012111530011220	住脚儿	zhù jiǎor
RECID=R2012111530011221	住宿	zhù sù
RECID=R2012111530011222	住街坊	zhù jiē fang
RECID=R2012111530011223	住嘴	zhù zuǐ
RECID=R2012111530011224	位	wèi
RECID=R2012111530011225	位于	wèi yú
RECID=R2012111530011226	位子	wèi zi
RECID=R2012111530011227	位分	wèi fèn
RECID=R2012111530011228	位次	wèi cì
RECID=R2012111530011229	位阶	wèi jiē
RECID=R2012111530011230	位能	wèi néng
RECID=R2012111530011231	位移	wèi yí
RECID=R2012111530011232	位置	wèi zhì
RECID=R2012111530011233	伴	bàn
RECID=R2012111530011234	伴发	bàn fā
RECID=R2012111530011235	伴同	bàn tóng
RECID=R2012111530011236	伴伺	bàn sì
RECID=R2012111530011237	伴和	bàn hè
RECID=R2012111530011238	伴侣	bàn lǚ
RECID=R2012111530011239	伴郎	bàn láng
